date,realized_var,vix_forecast,garch_forecast,intra_forecast,blair_forecast,regime_forecast
2020-09-09,0.0001049678119149,0.00019651587764976783,0.00021901338334139815,8.238715405755054e-05,0.0002082370166744883,0.00021646837141596693
2020-09-10,0.0002932657933673,0.00021094746083803975,0.0001840453245905281,0.0001049678119149,0.00019147162076618658,0.0002030914372640022
2020-09-11,0.0001105945373306,0.00016665872913453032,0.0001849799774248172,0.0002932657933673,0.00017329530245901412,0.00018130483401037026
2020-09-14,4.884110510397962e-05,0.00015168528630701782,0.0001500027797560304,0.0001105945373306,0.00014408494247669873,0.0001530853918469843
2020-09-15,2.8439617882542484e-05,0.00014786371652486955,0.0001264307314896029,4.884110510397962e-05,0.00012704680184958683,0.00013713736042643757
2020-09-16,6.146057628899717e-05,0.00015414494375965636,0.00010563659053616618,2.8439617882542484e-05,0.00011611708979121034,0.0001278430398966639
2020-09-17,6.89633573840904e-05,0.00016013422888489374,9.165427064424866e-05,6.146057628899717e-05,0.00010950891952948323,8.174677061496825e-05
2020-09-18,0.0001590509850037,0.00015090584221538213,8.65863485313656e-05,6.89633573840904e-05,0.00010225910478345073,7.748044156314078e-05
2020-09-21,0.0001084043110468,0.00017977907790269019,8.909739921871679e-05,0.0001590509850037,0.0001162159149388235,9.372412895464433e-05
2020-09-22,8.091072283143926e-05,0.00016576400733164838,9.194262711846742e-05,0.0001084043110468,0.00011211759675876196,8.566184850660034e-05
2020-09-23,0.0002766580951941,0.00019197988839083938,8.110563350331566e-05,8.091072283143926e-05,0.0001161661063003479,0.00010216082770861784
2020-09-24,0.0001643634802839,0.00019100836435826754,0.0001345892622169248,0.0002766580951941,0.00015079845480733066,0.0001630358516838208
2020-09-25,0.0002078533748518,0.0001586586956754732,0.00010893798026598426,0.0001643634802839,0.0001202743538499188,0.00013156388205811127
2020-09-28,2.4939193646535808e-05,0.00015596607719190646,9.879196929513286e-05,0.0002078533748518,0.00011254616126196978,7.992912886732283e-05
2020-09-29,2.9791345752769883e-05,0.00015696430996493945,9.116539678667063e-05,2.4939193646535808e-05,0.00010796673943675232,8.133489547976458e-05
2020-09-30,8.967457485543346e-05,0.0001582463009919975,7.933299128916849e-05,2.9791345752769883e-05,0.00010076422878209685,8.418572710977176e-05
2020-10-01,4.04573463154608e-05,0.00016300314607023647,7.041483636078592e-05,8.967457485543346e-05,9.696443139661384e-05,8.886664551833053e-05
2020-10-02,6.641703113513861e-05,0.0001767450732378034,6.239457484617801e-05,4.04573463154608e-05,9.755558445570979e-05,9.817503651013522e-05
